analysisPlanSort	analysisPlanId	description	NAME1	STAT1	NAME2	STAT2	NAME3	STAT3	NAME4	STAT4	NAME5	STAT5	NAME6	STAT6	NAME7	STAT7	NAME8	STAT8	NAME9	STAT9	NAME10	STAT10
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2-	S/Lv/L/3+/4+/(!IFNg+&!IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2+	S/Lv/L/3+/4+/(!IFNg+&IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2-	S/Lv/L/3+/4+/(IFNg+&!IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2+	S/Lv/L/3+/4+/(IFNg+&IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg_OR_IL2	S/Lv/L/3+/4+/(IFNg+|IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2-	S/Lv/L/3+/8+/(!IFNg+&!IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2+	S/Lv/L/3+/8+/(!IFNg+&IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2-	S/Lv/L/3+/8+/(IFNg+&!IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2+	S/Lv/L/3+/8+/(IFNg+&IL2+):Count								
AP-001	1	ICS two cytokine (IFNg and IL-2) positivity testing	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg_OR_IL2	S/Lv/L/3+/8+/(IFNg+|IL2+):Count								
