analysisPlanSort	analysisPlanId	description	NAME1	STAT1
AP-048	48	28-color ICS for HVTN 119	Count	Count
AP-048	48	28-color ICS for HVTN 119	Time:Count	Time:Count
AP-048	48	28-color ICS for HVTN 119	Time/S:Count	Time/S:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1:Count	Time/S/K1:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2:Count	Time/S/K1/K2:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3:Count	Time/S/K1/K2/K3:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4:Count	Time/S/K1/K2/K3/K4:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5:Count	Time/S/K1/K2/K3/K4/K5:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6:Count	Time/S/K1/K2/K3/K4/K5/K6:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/154+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/154+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/25+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/25+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/69+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/69+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/CCR5+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/CCR5+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/CTLA4+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/CTLA4+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/DR+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/DR+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/GzB+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/GzB+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IFNg+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IFNg+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IFNg_OR_IL2:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IFNg_OR_IL2:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IL17A_OR_IL17F:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IL17A_OR_IL17F:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IL2+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IL2+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IL4_OR_IL13:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/IL4_OR_IL13:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/LAG3_OR_TIM3:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/LAG3_OR_TIM3:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/PD1+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/PD1+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/Perf+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/Perf+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/TNFa+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos classical/TNFa+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/154+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14+_OR_SShi/Monos non-classical/154+:Count
