AnalysisPlanSort	AnalysisPlanId	NAME1	STAT1
AP-050	50	Time:Count	Time:Count
AP-050	50	Time/Lv:Count	Time/Lv:Count
AP-050	50	Time/Lv/K1:Count	Time/Lv/K1:Count
AP-050	50	Time/Lv/K1/K2:Count	Time/Lv/K1/K2:Count
AP-050	50	Time/Lv/K1/K2/K3:Count	Time/Lv/K1/K2/K3:Count
AP-050	50	Time/Lv/K1/K2/K3/K4:Count	Time/Lv/K1/K2/K3/K4:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5:Count	Time/Lv/K1/K2/K3/K4/K5:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6:Count	Time/Lv/K1/K2/K3/K4/K5/K6:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38+DR+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38+DR+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38+DR-:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38+DR-:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38-DR+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/38-DR+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/154+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/154+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/CCR5+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/CCR5+:Count
AP-050	50	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/DR+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical/DR+:Count
