analysisPlanSort	analysisPlanId	description	NAME1	STAT1
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time:Count	Time:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S:Count	Time/S:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv:Count	Time/S/Lv:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1:Count	Time/S/Lv/K1:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2:Count	Time/S/Lv/K1/K2:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3:Count	Time/S/Lv/K1/K2/K3:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4:Count	Time/S/Lv/K1/K2/K3/K4:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5:Count	Time/S/Lv/K1/K2/K3/K4/K5:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/16+:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/16+:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/25+:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/25+:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/32+:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/32+:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/64+:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/64+:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/GzB+:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/GzB+:Count
AP-054	54	Modified AP051 with memory for 27-color ICS for COVID-19 studies	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/GzB+Perf+:Count	Time/S/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SSlo/Monos classical/GzB+Perf+:Count
