AnalysisPlanSort	AnalysisPlanId	Description	NAME1	STAT1
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time:Count	Time:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1:Count	Time/K1:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2:Count	Time/K1/K2:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3:Count	Time/K1/K2/K3:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/16+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/16+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/25+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/25+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB-Perf-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB-Perf-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB-Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB-Perf+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB+Perf-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB+Perf-:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB+Perf+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/GzB+Perf+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IFNg_OR_IL2:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IFNg_OR_IL2:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IFNg+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IFNg+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IL17a+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IL17a+:Count
AP-059	59	Similar to AP054, but modified staining panel with 3 different markers	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IL2+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-_OR_SSlo/Monos classical/IL2+:Count
