AnalysisPlanSort	AnalysisPlanId	NAME1	STAT1																																																																																							
AP-069	69	Time/K1:Count	Time/K1:Count																																																																																							
AP-069	69	Time/K1/K2:Count	Time/K1/K2:Count																																																																																							
AP-069	69	Time/K1/K2/K3:Count	Time/K1/K2/K3:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/S:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27+CD21+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27+CD21-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27-CD21+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/CD27-CD21-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+/IgD+IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+/IgMnaive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD+/IgMnaive:Count																																																																																							
