Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-070	70		Time:Count	Time:Count
AP-070	70		Time/K1:Count	Time/K1:Count
AP-070	70		Time/K1/K2:Count	Time/K1/K2:Count
AP-070	70		Time/K1/K2/K3:Count	Time/K1/K2/K3:Count
AP-070	70		Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count
AP-070	70		Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/S:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/PE+AF647+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/PE+AF647+/CD27+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/PE+AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/PE+AF647+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/PE+AF647+/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/PE+AF647+/IgA+:Count
AP-070	70		Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/PE+AF647+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/PE+AF647+/IgD+IgG+:Count
