Rowid	Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1	NAME2	STAT2	NAME3	STAT3	NAME4	STAT4	NAME5	STAT5	NAME6	STAT6	NAME7	STAT7	NAME8	STAT8	NAME9	STAT9	NAME10	STAT10
45407	AP-071	71		Time:Count	Time:Count																		
45408	AP-071	71		Time/K1:Count	Time/K1:Count																		
45409	AP-071	71		Time/K1/K2:Count	Time/K1/K2:Count																		
45410	AP-071	71		Time/K1/K2/K3:Count	Time/K1/K2/K3:Count																		
45411	AP-071	71		Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count																		
45412	AP-071	71		Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count																		
45413	AP-071	71		Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count																		
45414	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count																		
45415	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8:Count																		
45459	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-:Count																		
45462	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/B cells/69+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/B cells/69+:Count																		
45461	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/B cells:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/B cells:Count																		
45463	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/B cells/Ki67+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/B cells/Ki67+:Count																		
45460	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S:Count																		
45464	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L:Count																		
45467	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br:Count																		
45473	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/103+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/103+:Count																		
45474	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/153+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/153+:Count																		
45475	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/154+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/154+:Count																		
45470	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/4-8-:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/4-8-:Count																		
45469	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/4+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/4+:Count																		
45472	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/69+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/69+:Count																		
45471	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/8+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/8+:Count																		
45476	AP-071	71		Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/CCR6+:Count	Time/K1/K2/K3/K4/K5/K6/K7/K8/Lv/14-/S/L/NotDRhi/3+/3+excl16br/MR1+/CCR6+:Count																		
