Property	Label	RangeURI	Format	NotNull	Hidden	MvEnabled	Description
PatientID	Patient ID	http://www.w3.org/2001/XMLSchema#string		TRUE	FALSE	FALSE	
SampleID	Sample ID	http://www.w3.org/2001/XMLSchema#string		TRUE	FALSE	FALSE	Flask (Sample) ID
Scientist	Scientist	http://www.w3.org/2001/XMLSchema#string		TRUE	FALSE	FALSE	
Stage	Stage	http://www.w3.org/2001/XMLSchema#string		TRUE	FALSE	FALSE	
Parasitemia		http://www.w3.org/2001/XMLSchema#double		TRUE	FALSE	FALSE	Initial Parasitemia %
Gametocytemia		http://www.w3.org/2001/XMLSchema#double		TRUE	FALSE	FALSE	Gametocytemia %
PatientpRBCs	Patient pRBCs	http://www.w3.org/2001/XMLSchema#string		TRUE	FALSE	FALSE	
Hematocrit		http://www.w3.org/2001/XMLSchema#double		TRUE	FALSE	FALSE	Hematocrit %
CultureMedia	Culture Media	http://www.w3.org/2001/XMLSchema#string		TRUE	FALSE	FALSE	
SerumBatchID	Serum Batch ID	http://www.w3.org/2001/XMLSchema#int		FALSE	FALSE	FALSE	Batch ID for serum supplemental media
AlbumaxBatchID	Albumax Batch ID	http://www.w3.org/2001/XMLSchema#int		FALSE	FALSE	FALSE	Batch ID for Albumax supplemental media
FoldIncrease	Fold-Increase	http://www.w3.org/2001/XMLSchema#int		FALSE	FALSE	FALSE	Fold-increase for successful growth test
AdaptationCriteria	Adaptation Criteria	http://www.w3.org/2001/XMLSchema#int		FALSE	FALSE	FALSE	Successful adaptation criteria
Comments		http://www.w3.org/2001/XMLSchema#multiLine		FALSE	FALSE	FALSE	
